reprinted 重印
sensors 感應器
battlefield 戰地
battlefield 戰場
shells 貝殼
shells 殼
ashore 上岸
cottage 山寨
honduras 宏都拉斯
shepherd 牧羊人
reservation 預訂
reservation 保留
elderly 長者
elderly 老人
elderly 老年人
pbs pbs
mapping 繪圖
mapping 製圖
mongolia 蒙古
nash nash
sharks 鯊魚
ricky ricky
exercises 演習
ribbon 絲帶
infant 嬰兒
destroyers 驅逐艦
mild 輕度
mild 溫和
peers 同儕
renovated 裝修
renovated 翻新
renovated 翻修
proceeds 收益
reproduction 生殖
reproduction 複製
reproduction 繁殖
mercedes 賓士
bombay 孟買
premises 房舍
premises 房地
hawaiian 夏威夷
handbook 手冊
imported 進口
transactions 交易
statute 章程
statute 法規
statute 規約
congressman 議員
congressman 國會議員
shark 鯊魚
bare 裸
raids 突襲
diagnosis 診斷
firearms 火器
firearms 槍械
bride 新娘
criminals 罪犯
wartime 戰時
vacuum 真空
heating 暖氣
heating 供暖
heating 加熱
lengths 長度
radius 半徑
johan johan
inactive 閒置
celebrities 名人
meta 元
rehabilitation 康復
synonym 同義詞
asserted 斷言
ambiguous 曖昧
ambiguous 模糊
sailor 水兵
sailor 水手
tears 淚水
tears 流淚
tears 淚
tears 眼淚
inspection 視察
ancestors 祖先
honda 本田
barn 穀倉
controller 控制器
assert 斷言
singular 單數
singular 奇異
vacant 出缺
vacant 空缺
burden 重擔
burden 擔子
burden 負擔
fruits 果實
fruits 水果
ruby ruby
lunch 午餐
lunch 午飯
photographers 攝影師
classroom 課室
classroom 教室
classroom 課堂
delegate 代表
forums 論壇
cups 杯子
recommendation 建議
shi 石
shi 史
shi 施
instant 即時
instant 瞬間
falcon 獵鷹
falcon 隼
nordic 北歐
hannah hannah
coordination 協調
barracks 營房
barracks 軍營
barracks 兵營
skilled 熟練
precipitation 降水
precipitation 降水量
bucharest 布加勒斯特
ranger 遊俠
lily 百合
lily lily
surveys 調查
peterson peterson
destinations 目的地
destinations 航點
calm 平靜
subtropical 亞熱帶
asylum 庇護
asylum 避難
visa visa
visa 簽證
matching 配對
matching 比對
matching 匹配
pregnancy 懷孕
pregnancy 妊娠
pregnancy 孕期
blatant 公然
expectations 期望
expectations 預期
expectations 期望值
carmen carmen
harvest 收成
harvest 收割
harvest 收穫
harvest 豐收
flies 蒼蠅
kashmir 克什米爾
theft 失竊
theft 盜竊
theft 偷竊
occupy 佔據
occupy 佔用
occupy 佔領
flames 火焰
beats 節拍
donna donna
sonic 音波
sonic 音速
transparent 透明
dedication 奉獻
katherine katherine
nervous 緊張
sunset 夕陽
reward 獎勵
reward 獎賞
reward 賞金
reward 賞
narrator 旁白
antoine antoine
ally 盟友
steep 陡
steep 陡峭
primitive 原始
gateway 門戶
leigh leigh
chronic 慢性
donations 捐贈
donations 捐助
donations 捐款
imaging 成像
imaging 影像
ignoring 忽略
ignoring 忽視
ignoring 無視
intel 英特爾
intel 情報
intel intel
winchester winchester
buddha 菩薩
buddha 佛
buddha 佛祖
pig 豬
whale 鯨魚
whale 鯨
beaches 沙灘
beaches 海灘
approaching 臨近
approaching 接近
archipelago 群島
attributes 屬性
minerals 礦物質
minerals 礦物
minerals 礦產
frozen 冷凍
frozen 凍結
frozen 冰凍
gains 增益
typhoon 颱風
shortened 縮短
tram 電車
aerospace 航天
alignment 對齊
ivory 象牙
holly holly
holly 冬青
traces 痕跡
constellation 星座
healing 醫治
healing 治癒
healing 療傷
healing 康復
frames 框架
frames 框
lorenzo lorenzo
specification 規格
risks 風險
atmospheric 大氣
pottery 陶器
bloody 血腥
eden 伊甸園
eden eden
coloured 有色
relevance 關聯性
interference 干擾
interference 干預
interference 干涉
candy 糖果
candy 糖
bitter 苦苦
bitter 苦
monetary 貨幣
individually 個別
funk funk
synagogue 會堂
interact 互動
paths 小徑
paths 路徑
var var
guarantee 保障
guarantee 擔保
guarantee 保證
patriarch 族長
blessed 祝福
blessed 有福
oversight 監督
servers 伺服器
ecological 生態
rabbit 野兔
rabbit 兔
rabbit 兔子
phi phi
corners 角落
powder 粉
powder 粉末
powder 火藥
conservatives 保守派
trivia 瑣事
trivia 花絮
plaque 牌匾
detect 偵測
precision 精度
precision 精准
precision 精確
precision 精密
sunshine 陽光
linguistics 語言學
flowering 開花
nazis 納粹黨
nazis 納粹
savings 儲蓄
savings 節省
savings 節約
underwater 水底
underwater 水下
underwater 水中
avoiding 避免
toxic 有毒
toxic 毒性
screening 放映
screening 篩選
screening 甄別
phenomena 現象
rolls 卷
liver 肝臟
liver 肝
commodore 准將
hollow 空洞
hollow 空心
mob 暴徒
mob 暴民
emi 惠美
emi emi
brett brett
alert 提醒
alert 警報
alert 警示
seventeen 十七
seventeen seventeen
loyalty 忠心
loyalty 忠誠
reunion 團聚
reunion 團圓
reunion 重逢
collision 相撞
collision 撞擊
collision 碰撞
lighter 打火機
lighter 輕
filling 填料
filling 填充
filling 填補
enacted 頒布
vowel 母音
encouraging 鼓勵
drainage 排水
disciplines 紀律
disciplines 學科
shooters 射手
shooters 槍手
lambert lambert
seth seth
kai 凱
kai 啟
wow 哇
noun 名詞
reversed 逆轉
factories 工廠
valentine 情人節
plasma plasma
plasma 血漿
virtue 美德
heated 加熱
partisan 黨派
ballad 民謠
dairy 乳製品
insight 洞察力
insight 洞察
hay 乾草
momentum 勢頭
devils 鬼子
endurance 耐力
blame 責怪
gaza 加沙
teachings 教義
teachings 教導
convent 修道院
dealer 莊家
neal neal
frost frost
frost 霜
frost 冰霜
bugs 蟲子
bugs 臭蟲
consistency 一致性
consistency 連貫性
steady 穩
steady 平穩
steady 穩定
steady 穩步
steady 穩住
shannon shannon
watershed 分水嶺
watershed 流域
implied 隱含
whitney whitney
pupil 瞳孔
limitations 限制
lateral 橫向
lateral 側
lovers 戀人
lovers 愛人
lovers 情侶
lovers 情人
intentions 意圖
intentions 意向
securities 證券
prohibition 禁止
acute 急性
acute 尖銳
container 容器
container 貨櫃
emissions 排放
emissions 排放量
upgrade 升級
upgrade 提升
omar omar
taipei 臺北
taipei 台北市
taipei 台北
torres torres
dining 餐飲
dining 用餐
survivor 生還者
survivor 幸存者
advancing 推進
shaft 軸
nicole nicole
marker 標記
observe 觀察
dishes 菜
cove 灣
seating 座位
loud 大聲
suspicious 可疑
noah noah
noah 諾亞
eternal 永恆
terrestrial 陸地
ethical 倫理
tender 招標
tender 投標
tender 溫柔
reflecting 反映
yearly 每年
modest 謙虛
modest 適度
explosive 爆炸性
explosive 炸藥
pas pas
revealing 揭示
juvenile 少年
softball 壘球
compression 壓縮
micro 微觀
micro 微型
micro 微
sovereignty 主權
reef 礁
reef 暗礁
reef 珊瑚礁
shadows 影
shadows 影子
shadows 陰影
breach 違反
breach 違約
breach 違規
monasteries 寺院
rope 繩子
rope 繩索
duplicate 重複
duplicate 複製
wards 病房
notorious 臭名昭著
andre andre
mos mos
maternal 產婦
transmitter 發射器
steal 偷
pension 退休金
scenario 情景
scenario 設想
constantine 君士坦丁
specimen 標本
specimen 樣本
dolphins 海豚
metals 金屬
oceania 大洋洲
lightweight 輕量級
processor 處理器
switching 切換
phillip phillip
bilateral 雙邊
pyramid 金字塔
eps eps
nina nina
val val
val 瓦爾
cooling 冷卻
cooling 制冷
hiv hiv
electorate 選民
sexuality 性行為
sexuality 性
dash dash
nam nam
nam 南
tribunal 法庭
pitchers 投手
presumed 推定
presumed 假定
mayer mayer
facade 外觀
spike spike
cal cal
klein klein
hassan hassan
hassan 哈桑
translate 翻譯
flesh 血肉
flesh 肉體
pistol 手槍
expired 過期
valleys 山谷
profits 利潤
acids 酸
travis travis
distances 距離
enclosed 附上
asteroid 小行星
cow 牛
cow 奶牛
cow 母牛
accommodation 住宿
textile 紡織
textile 紡織品
sanders sanders
clarification 澄清
deadly 致命
qualities 素質
qualities 品質
marching 行軍
marching 行進
chassis 底盤
intensive 密集
marcel marcel
diane 黛安娜
detachment 支隊
specify 指明
specify 指定
cloth 布
doyle doyle
statues 雕像
statues 塑像
qing 青
qing 清
sheikh sheikh
cafe 咖啡廳
cafe 咖啡館
cafe cafe
breeds 品種
orphan 孤兒
monaco 摩納哥
folks 鄉親
norm 規範
sen sen
sen 森
illustrator illustrator
strain 株
strain 應變
pronunciation 讀音
pronunciation 發音
talented 才華
forestry 林業
exam 考試
advantages 優點
advantages 長處
advantages 優勢
mood 心境
mood 心情
mood 情緒
beth beth
tunnels 地道
tunnels 隧道
offshore 海外
offshore 離岸
offshore 境外
offshore 近海
consul 領事
consul 執政官
salon 沙龍
checks 支票
trigger 扳機
trigger 觸發
pipes 管道
pipes 水管
atoms 原子
invisible 隱身
invisible 無形
invisible 隱形
ibrahim ibrahim
intro 介紹
coronation 加冕
werner werner
gifts 禮物
gifts 送禮
gifts 禮品
livestock 牲畜
livestock 畜牧
confirmation 確認
confirmation 證實
volcano 火山
jupiter 木星
prophet 先知
taxi 計程車
taxi 出租
disagreement 分歧
originating 源於
detention 拘留所
detention 拘禁
detention 拘留
scripts 文稿
iris iris
abbot 方丈
elvis 貓王
mel mel
mel 梅爾
laboratories 實驗室
responding 回應
fabric 布料
fabric 纖維
fabric 織物
shin 申
shin shin
clip 片段
clip 剪輯
clip 夾
villain 反派
chemicals 化學品
astronomer 天文學家
immune 免疫
flexible 靈活
flexible 彈性
flexible 柔性
flexible 靈活性
tai 泰
gamma gamma
gamma 伽瑪
convincing 說服
homeless 無家可歸
triumph 凱旋
triumph 勝利
carriage 馬車
obsolete 過時
communism 共產主義
consortium 財團
stark stark
locate 定位
effectiveness 成效
effectiveness 有效性
effectiveness 效能
souls 靈魂
cameo 客串
unemployment 失業
torn 撕裂
baghdad 巴格達
dana dana
clarinet 單簧管
sodium 鈉
crow 烏鴉
quantities 數量
pseudonym 假名
eclipse 日蝕
organs 器官
christina christina
countryside 鄉村
countryside 鄉下
countryside 鄉間
countryside 農村
conception 受孕
dir dir
regina regina
rectangular 矩形
transfers 轉讓
yacht 遊艇
picking 採摘
falcons 獵鷹
bart bart
genius 天才
specialty 專長
specialty 專業
clash 碰撞
clash 衝突
continuation 延續
remedy 補救
comfort 安慰
comfort 撫慰
comfort 舒適
cadet 學員
helicopters 直升機
shooter 射手
lotus lotus
lotus 蓮花
lotus 蓮
enlarged 擴大
dwarf 矮人
dwarf 矮
dwarf 侏儒
dwarf 矮星
fold 折疊
fold 折
fold 摺疊
terrace 露台
terrace 陽台
terrace 臺
socialism 社會主義
sandstone 砂岩
judy judy
infected 感染
happiness 幸福
warehouse 倉庫
warehouse 倉儲
miracle 奇蹟
miracle 奇跡
leisure 休閒
leisure 閒暇
kindergarten 幼稚園
leopold leopold
synthetic 合成
sage sage
adviser 顧問
trim 修剪
basilica 聖殿
cartoons 漫畫
cartoons 卡通
irregular 不規則
atom atom
atom 原子
passive 被動
passive 消極
modification 修改
breakdown 明細
breakdown 擊穿
badminton 羽毛球
badminton 羽球
fiber 纖維
mice 鼠
tired 累
wage 工資
fingers 手指
worried 擔憂
worried 擔心
gambling 賭
gambling 賭博
auditorium 禮堂
vault 金庫
descendant 後裔
descendant 後代
poison 毒藥
poison 毒
poison 毒物
royals 皇家
yan 閻
yan 燕
yan 嚴
yan 顏
damages 損壞
eleanor eleanor
parsons parsons
mafia 黑手黨
deny 否認
shapes 形狀
essence 實質
essence 本質
essence 精華
emotions 情感
emotions 感情
emotions 情緒
saturn 土星
domains 網域
domains 域
sketches 素描
sketches 草圖
sponsorship 贊助
dab dab
bmw 寶馬
bmw bmw
miranda miranda
plug 插頭
orbital 軌道
spreading 散播
spreading 蔓延
spreading 傳播
puzzle 拼圖
puzzle 謎題
puzzle 益智
puzzle 謎
symbolic 象徵
diamonds 鑽石
roses 玫瑰花
roses 玫瑰
scratch 刮
pipeline 管道
pipeline 管線
pac pac
archer archer
promises 諾言
promises 承諾
promises 允諾
promises 許諾
phases 階段
rendering 渲染
judith judith
chartered 包機
chartered 包租
beds 床位
beds 床
beds 病床
howe 豪
desperate 絕望
uniforms 制服
tips 提示
tips 小費
ministries 部委
ministries 各部
destiny 天命
destiny 命運
reporters 記者
daytime 日間
aurora 極光
coordinate 協調
coordinate 坐標
pepper 辣椒
pepper 胡椒
drunk 醉
drunk 醉酒
drunk 喝醉
folded 折疊
seals 海豹
swim 游泳
swim 游
persecution 迫害
expenses 費用
expenses 開支
expenses 支出
controversies 爭議
projected 預計
functioning 運作
query 詢問
query 查詢
byron 拜倫
accomplishments 成就
accomplishments 成績
brave 勇者
brave 勇敢
gil gil
dirt 泥土
dirt 污垢
dirt 土
mathematicians 數學家
noel noel
inventory 存貨
inventory 庫存
rgb rgb
imagination 想象力
imagination 想象
imagination 想像
imagination 想像力
barber 理髮師
barber 理髮
slogan 口號
slogan 標語
hurricanes 颶風
desktop 桌面
hunters 獵人
drops 滴
sept 九月
demolition 拆毀
demolition 拆除
hague 海牙
ancestor 祖先
fence 籬笆
fence 柵欄
fence 圍牆
rna rna
crush 暗戀
exploring 探索
wii wii
taiwanese 臺灣
capturing 捕捉
capturing 捕獲
continuity 連續性
clouds 雲
clouds 雲彩
verification 驗證
verification 核查
owl 貓頭鷹
lonely 孤單
lonely 寂寞
lonely 孤獨
deaf 聾人
newsletter 通訊
ink 墨
ink 墨水
ink 油墨
menu 選單
pointless 無意義
declare 宣告
declare 申報
supernatural 超自然
privileges 特權
faithful 忠誠
faithful 忠實
knock 敲
lamb 羔羊
lamb 羊肉
storms 風暴
logistics 物流
logistics 後勤
satellites 衛星
apache apache
antenna 天線
ashes 灰
ashes 骨灰
ashes 灰燼
fin 芬
wounds 傷口
alternatives 替代品
turtle 海龜
turtle 烏龜
turtle 龜
cake 蛋糕
tributaries 支流
heather heather
pulse 脈搏
pulse 脈衝
irrigation 灌溉
kyoto 京都
ninja 忍者
transcription 轉錄
validity 有效性
employers 雇主
curse 詛咒
curse 咒
breakthrough 突破性
breakthrough 突破
cycles 週期
node 節點
habit 習慣
shields 盾牌
exposition 博覽會
interval 區間
interval 間歇
interval 間隔
decommissioned 退役
oath 宣誓
oath 誓
oath 誓言
oath 誓詞
filing 備案
filing 歸檔
generator 產生器
generator 發電機
bahrain 巴林
twist 扭
twist 扭曲
nicaragua 尼加拉瓜
bacon 培根
bacon 熏肉
bury 埋
bury 埋葬
premium premium
premium 溢價
premium 保費
premium 保險費
colleague 同事
curves 曲線
fraternity 友愛
fraternity 互助會
fraternity 博愛
jacobs jacobs
hire 雇用
isolation 隔絕
isolation 隔離
isolation 孤立
raven 烏鴉
dig 挖
verbal 口頭
patents 專利權
patents 專利
usc usc
sonata 奏鳴曲
hemisphere 半球
slang 俗語
slang 俚語
thrust 推力
thrust 主旨
trout 鱒魚
aesthetic 美學
panic 恐慌
aaa aaa
teresa teresa
hunger 飢餓
ears 耳
ears 耳朵
laurent laurent
resign 辭職
splitting 分裂
courtesy 禮貌
courtesy 禮遇
encyclopaedia 百科全書
subscription 認購
subscription 訂閱
perspectives 視角
perspectives 觀點
midwest 中西
midwest 中西部
amber amber
amber 安培
amber 琥珀
designing 設計
overtime 加班
overtime 加班費
functionality 功能
mastering 掌握
shocked 震驚
autonomy 自主
autonomy 自治
frequencies 頻率
protesters 示威者
inflation 通貨膨脹
academia 學術
academia 學界
academia 學術界
passport 護照
baba 巴巴
tab 標籤
tab tab
marginal 邊際
shame 羞
shame 恥辱
shame 羞恥
shame 羞愧
genetics 遺傳學
genetics 遺傳
motivation 動機
motivation 動力
yoga 瑜伽
yoga 瑜珈
rotterdam 鹿特丹
marvin marvin
laurel 月桂
overhead 頭頂
balloon 氣球
wha wha
greenland 格陵蘭
demographic 人口
rahman rahman
ivy 常春藤
ivy ivy
screw 螺絲
accreditation 認可
sandra sandra
overwhelming 壓倒性
stranger 陌生人
stranger 陌生
installations 設施
installations 裝置
payne payne
mod mod
projection 投射
projection 投影
projection 預測
sands 金沙
sands sands
subtle 微妙
strips 條
shoe 鞋
shoe 鞋子
basket 籃
basket 籃子
fisheries 漁業
voter 選民
silicon 矽
rage 怒
rage 憤怒
rage 怒火
aliens 異形
aliens 外僑
aliens 外國人
aliens 外星人
cao 曹
nucleus 核
nucleus 核心
ceremonial 禮儀
circuits 電路
tooth 牙
tooth 牙齒
uranium 鈾
sega sega
clusters 集群
marriages 婚姻
tunes 曲調
amino 氨基
amino 氨基酸
accent 口音
slate 石板
parachute 降落傘
lauren lauren
snails 蝸牛
meal 餐
meal 飯
dominion 自治領
porn 色情
mirrors 鏡子
vegetables 蔬菜
teammate 隊友
psychiatric 精神科
laos 寮國
ant 螞蟻
hectares 公頃
rotten 爛
confident 信心
confident 自信
suzuki 鈴木
mobility 調動
mobility 流動
mobility 流動性
fascist 法西斯
marquis 侯爵
chronology 時序
chronology 年表
polytechnic 理工學院
polytechnic 理工
randall randall
dunn dunn
scrapped 報廢
sophisticated 老練
sophisticated 精密
textbook 課本
textbook 教科書
arabs 阿拉伯人
sealed 封存
landscapes 景觀
curved 彎曲
databases 資料庫
approximate 大致
approximate 近似
inheritance 繼承權
inheritance 繼承
inheritance 遺產
ugly 醜陋
fraction 分數
transaction 交易
decay 衰敗
decay 衰減
decay 衰變
lineage 世系
lineage 血統
substances 物質
guam 關島
syndicated 辛迪加
fencing 擊劍
fencing 劍術
zhou 周
finalists 入圍
turbine 渦輪機
install 安裝
mint 薄荷
brotherhood 義氣
katie katie
ign ign
wheelchair 輪椅
slip 滑
gore 戈爾
herb 藥草
possibilities 可能性
syntax 句法
syntax 語法
railroads 鐵路
jonas jonas
similarity 相似
suspicion 懷疑
molecule 分子
tonnes 噸
tonnes 公噸
nautical 航海
preferences 偏好
preferences 喜好
preferences 優惠
cds cd
casa casa
tricks 技巧
salvation 得救
salvation 拯救
salvation 救贖
guaranteed 保證
swamp 沼澤
dove 鴿子
gym 健身房
gym 體育館
patriotic 愛國
patriotic 愛國主義
suspects 嫌犯
suspects 嫌疑犯
suspects 疑犯
squares 方塊
ads 廣告
revenues 收入
licenses 執照
licenses 許可證
seventy 七十
cultivation 種植
credible 可信
ingredients 元素
ingredients 成分
ingredients 原料
ingredients 成份
stephens stephens
translators 翻譯
beef 牛肉
password 密碼
modules 單元
comeback 復出
precious 珍貴
precious 珍寶
precious 寶貴
dei dei
moist 濕潤
moist 潮濕
aging 衰老
aging 老化
garrett garrett
dinosaur 恐龍
emblem 國徽
plague 鼠疫
plague 瘟疫
wan 萬
pie 餡餅
pie 派
spiral 螺旋
admiralty 金鐘
cement 水泥
refugee 難民
luigi luigi
ieee ieee
donation 捐
donation 捐贈
donation 捐款
donation 捐獻
numbering 編號
hare 野兔
hare 兔
correction 改正
correction 糾正
correction 校正
correction 更正
jensen jensen
crusade 討伐
crusade 十字軍
developmental 發育
extensions 延期
cube 立方
cube 方塊
cube 立方體
vacation 假期
vacation 渡假
vacation 度假
maggie maggie
boots 靴子
submerged 淹沒
ambulance 救護車
ambulance 救護
disabilities 殘疾
flint 火石
skeleton 骷髏
skeleton 骨架
skeleton 骨骼
lawn 草地
lawn 草坪
weaver weaver
mai mai
mai 邁
wreck 殘骸
sinking 沈沒
vintage 復古
vintage 古董
gdp gdp
stereo 音響
stereo 立體聲
stereo 立體
troubles 煩惱
tina tina
resume 履歷
resume 恢復
unlimited 無限
molly 茉莉
molly molly
attitudes 態度
mans 芒
neighbors 鄰
neighbors 鄰居
portrayal 描繪
rim rim
abundant 豐富
wendy wendy
feud 世仇
jockey 騎師
alison alison
emmanuel emmanuel
birthplace 出生地
doll 娃娃
doll 洋娃娃
doll 玩偶
umbrella 傘
umbrella 雨傘
elliot elliot
campuses 校園
showcase 展示
rotating 旋轉
angles 角度
angles 盎格魯
tolerance 容忍
tolerance 寬容
paula paula
memorable 難忘
sink 水槽
prop 道具
hiking 遠足
hiking 登山
airplane 飛機
violet 紫
wordpress wordpress
globally 全球
abbreviation 縮寫
gentleman 紳士
gentleman 君子
cosmic 宇宙
piper piper
banker 莊
villagers 村民
demonstrations 示威
drinks 飲料
prosecutor 檢察官
irene irene
dive 俯衝
dive 跳水
dive 潛水
sworn 宣誓
apartheid 種族隔離
ada ada
simplified 簡體
simplified 簡化
stephanie stephanie
longitude 經度
smile 笑
smile 微笑
smile 笑容
classrooms 課室
classrooms 教室
injection 注射
injection 注入
calcium 鈣
jill 吉爾
swords 劍
multimedia 多媒體
judging 判斷
judging 評判
sanction 制裁
mandarin 國語
borrowed 借
criticisms 批評
ambitious 野心
ambitious 雄心
ambitious 雄心勃勃
philanthropist 慈善家
discourse 話語
collar 領
collar 項圈
honolulu 檀香山
inherent 固有
fcc fcc
brigades 旅
sunny 晴
talents 人才
jakarta 雅加達
natalie natalie
chin 下巴
macau 澳門
barbados 巴貝多
consumed 消費
spectators 觀眾
wages 工資
homosexuality 同性戀
recruit 招募
recruit 新兵
sensor 感應器
floods 洪水
floods 水災
weakened 削弱
weakened 弱化
twilight 曙光
twilight 黃昏
lowe lowe
nitrogen 氮
harmful 有害
sergei sergei
firefox firefox
strengthen 加強
rite 儀式
rite 禮
proportional 比例
una una
lobby 大廳
lobby 大堂
lobby 遊說
supervisor 主管
supervisor 督導
spectacular 壯觀
bean 豆
blades 刀鋒
printer 印表機
residences 住宅
residences 官邸
thumb 拇指
thumb 大拇指
mediawiki mediawiki
sol sol
overnight 通宵
marty marty
butterflies 蝴蝶
hostage 人質
casual 休閒
rude 粗魯
cubic 立方
soup 湯
battleship 戰艦
dissertation 論文
python python
python 巨蟒
python 蟒蛇
extract 提取
extract 萃取
extract 摘錄
peasants 農民
throat 喉
throat 喉嚨
throat 嗓子
throat 咽喉
celebrating 慶祝
finn finn
inadequate 不足
caste 種姓
prisons 監獄
senegal 塞內加爾
beirut 貝魯特
touched 觸及
touched 感動
deposit 保證金
deposit 存
deposit 存款
deposit 押金
olivia olivia
colombo 科倫坡
observers 觀察員
hubert hubert
batch 批次
batch 分批
breath 呼氣
baton 警棍
spokesman 發言人
caution 謹慎
meadows 草甸
aluminum 鋁
revisions 訂正
stein stein
jokes 笑話
bark 樹皮
diabetes 糖尿病
flickr flickr
lesson 教訓
lesson 課
tenants 租戶
tenants 房客
tenants 住戶
factions 各派
factions 派系
conscious 自覺
alley 小巷
alley 巷
alley 巷子
schneider schneider
geo geo
meditation 冥想
rue rue
promotions 推廣
promotions 促銷
promotions 晉升
diplomats 外交官
critique 批判
purchasing 購買
purchasing 採購
liz liz
horns 牛角
emergence 湧現
emergence 興起
resorts 勝地
taxation 稅收
taxation 稅務
miniature 微型
miniature 迷你
clarity 清晰度
clarity 清晰
qualifications 資歷
poetic 詩意
hereditary 世襲
hereditary 遺傳
mater 板牙
principality 公國
increment 遞增
increment 增量
omitted 省略
tumor 瘤
tumor 腫瘤
locks 鎖
bees 蜜蜂
equilibrium 平衡
equilibrium 均衡
adaptations 改編
advertisements 廣告
chung 鐘
chung 忠
oman 阿曼
flank 側翼
flank 側面
okinawa 沖繩
okinawa 琉球
helmet 頭盔
straw 稻草
straw 吸管
downstream 下游
anticipated 預計
anticipated 預期
nutrition 營養
messenger messenger
messenger 信使
robbery 打劫
robbery 劫
robbery 搶劫
ducks 鴨
ducks 鴨子
huang 黃
packaging 包裝
int int
trauma 創傷
trauma 外傷
reyes reyes
laying 鋪設
extinction 滅絕
extinction 絕種
attribute 屬性
proxy 代理人
proxy 代理
coding 編碼
canoe 獨木舟
gasoline 汽油
cpu cpu
borderline 邊緣
geometric 幾何
chord 和弦
chord 弦
costumes 服裝
costumes 戲服
cowboy 牛仔
preparations 籌備
koch koch
sts sts
bedroom 臥室
declining 遞減
declining 衰落
choral 合唱
interpret 詮釋
grape 葡萄
expeditions 探險
haunted 鬧鬼
offspring 後代
marxist 馬克思主義
aluminium 鋁
permits 許可證
tomatoes 番茄
tomatoes 蕃茄
quarry 採石場
disappointed 失望
crafts 工藝
crafts 手工藝
crafts 工藝品
curator 館長
rbi 打點
marseille 馬賽
rand rand
insect 昆蟲
sergio sergio
appreciation 升值
enzymes 酶
awkward 尷尬
pressing 緊迫
corrupt 腐敗
logging 伐木
conversations 對話
questioning 訊問
questioning 審問
ceylon 錫蘭
depiction 描繪
symmetry 對稱
excavations 挖掘
hercules 大力士
unfair 不公
pile 堆
muscles 肌肉
samurai 武士
stripes 條紋
juice 果汁
proprietary 專有
fierce 激烈
fierce 凶猛
necessity 必要性
stealing 偷竊
stealing 偷
stomach 胃
stomach 肚子
abusive 濫用
abusive 辱罵
abusive 虐待
buttons 按鈕
hinduism 印度教
fortifications 工事
apprentice 學徒
apprentice 徒弟
